[[[000004D4]]] "ID"
[[[000047A4]]] "添加"
[[[0000527F]]] "老挝语"
[[[0000585C]]] "SQL"
[[[000266EE]]] "目的地"
[[[00038905]]] "改变语言"
[[[00049047]]] "必应"
[[[0004CF04]]] "出口"
[[[0004D025]]] "文件"
[[[0004EC30]]] "帮助"
[[[0004FD8F]]] "伊博语"
[[[00053889]]] "马里"
[[[000598C5]]] "节省"
[[[00059F67]]] "显示"
[[[0005AE79]]] "泰国"
[[[0005C8B5]]] "乌尔都语"
[[[00061C35]]] "祖鲁语"
[[[0007DF91]]] "拉丁语 - la"
[[[0015C47E]]] "错误：无法从 Web 版本中提取 Bing 密钥。"
[[[002A7361]]] "阿尔巴尼亚语 - sq"
[[[002BFB93]]] "马来西亚 - 女士"
[[[00306C9F]]] "菲律宾语"
[[[00352F9C]]] "他加禄语 - tl"
[[[003DF565]]] "选择的翻译语言"
[[[004796C4]]] "关于"
[[[004B0B98]]] "捷克语"
[[[004BCA98]]] "荷兰语"
[[[004E8BBB]]] "希腊语"
[[[004E8C91]]] "豪萨语"
[[[004F04A9]]] "印地语"
[[[004F4647]]] "苗族"
[[[00509098]]] "爱尔兰语"
[[[0051F3C2]]] "高棉语"
[[[00528AFE]]] "拉丁"
[[[00538289]]] "马来语"
[[[00538689]]] "毛利人"
[[[005690F1]]] "奥里亚"
[[[0059F641]]] "绍纳"
[[[005A80FB]]] "塔吉克"
[[[005A83FC]]] "泰米尔语"
[[[005A8A82]]] "鞑靼"
[[[005D08BB]]] "乌兹别克语"
[[[005DC398]]] "威尔士语"
[[[005E8D34]]] "临时文件夹内容被删除"
[[[005EF691]]] "科萨"
[[[006912B4]]] "剪贴板"
[[[006A3815]]] "制作"
[[[00783815]]] "qmake"
[[[00913239]]] "亚美尼亚语 - hy"
[[[0091FFD9]]] "吉尔吉斯-ky"
[[[00A82F2E]]] "意大利语"
[[[00AFD7AE]]] "错误：无法从 Web 版本中提取 Bing 令牌。"
[[[00C94BD4]]] "葡萄牙语 - pt"
[[[010C48C3]]] "以秒为单位的延迟"
[[[01260113]]] "国家代码"
[[[014DE9A3]]] "苏格兰盖尔语"
[[[015009D5]]] "输入目录应该只包含同名的txt和ts文件"
[[[017E722F]]] "世界语 - eo"
[[[018547F1]]] "卡纳达语"
[[[01A9861E]]] "选定的情感"
[[[01E0CD65]]] "无法移动数据库"
[[[01F3679B]]] "哈萨克语 - kk"
[[[0210A9A0]]] "Rhaeto-Romanic - rm"
[[[02304E0E]]] "克林贡语"
[[[024C928E]]] "蒙古语 - mn"
[[[028262F5]]] "找不到 txt 文件"
[[[02884BFE]]] "阿尔巴尼亚语"
[[[028BCF2E]]] "拉脱维亚语"
[[[028F31FD]]] "马拉雅拉姆语"
[[[029F4FEF]]] "挪威语 - 没有"
[[[02C8B0C8]]] "库尔德"
[[[02D52C45]]] "不添加：在数据库中找到的记录"
[[[02D8C6BE]]] "保加利亚语"
[[[02E57789]]] "希尔马里"
[[[02E631C5]]] "尼泊尔语"
[[[02E8941F]]] "索马里语 - 所以"
[[[02F16D94]]] "密码审核"
[[[030875F4]]] "意大利语 - 它"
[[[03247968]]] "删除使用百分号 x 的参数"
[[[032A4BC6]]] "拉脱维亚语 - lv"
[[[037297D5]]] "祖鲁族 - zu"
[[[0383ACC5]]] "马耳他语"
[[[03888AB9]]] "马拉地语"
[[[038E1965]]] "无法删除文件"
[[[039E5E65]]] "俄语 - ru"
[[[039E7F52]]] "塞尔维亚语 - sr"
[[[03A47F62]]] "索布语 - sb"
[[[03C6A8D5]]] "更新"
[[[03CD4D75]]] "错误源和目标不能相同"
[[[03DB7367]]] "主窗口"
[[[03F4D5B5]]] "找不到输入文件"
[[[03F78675]]] "找不到txt文件"
[[[03FF40F5]]] "数据库名称"
[[[041E2EE5]]] "所选发动机"
[[[041F5351]]] "输入文件不存在！"
[[[043768FE]]] "绍纳 - SN"
[[[04695A2E]]] "茨瓦纳 - tn"
[[[04727E25]]] "古吉拉特语 - gu"
[[[048878F3]]] "阿拉伯"
[[[0488A8B5]]] "巴斯克"
[[[048CAF62]]] "作者"
[[[04945263]]] "波斯尼亚语 - bs"
[[[04996DC3]]] "布鲁斯"
[[[04996E95]]] "浏览"
[[[049A5EB1]]] "加泰罗尼亚语 - ca"
[[[04A81655]]] "巽他语"
[[[04A85098]]] "丹麦语"
[[[04AC2CA5]]] "删除"
[[[04C6F343]]] "不支持情感设置"
[[[04CA69A1]]] "巴什基尔语 - ba"
